Title,description,Annotator,Category,Sentiment
Trump Has a New Focus in His Campaign Ads-and His Base Hates It,"Donald Trump has decided the most important issue of the election. Its not the economy, immigration, or foreign policy-instead, its demonizing transgender people. Since President Joe Biden stepped aside, Republicans have spent $120 million slamming Democr",Owen,Domestic Affairs & Policy,Positive
Biden-Harris DOJ Just Threw This Black Mom In Prison For 3 Years For Pro-Life Speech Crimes,Kamala Harris has leveraged the legal system to jail Americans who engage in efforts to protect preborn children for the majority of her political career.,Owen,Domestic Affairs & Policy,Negative
Kamala Harris Stands By Big Lie That Joe Biden Is Capable Of The Presidency,"Joe Biden is an - extremely accomplished, experienced, and capable in every way that anyone would want if theyre president. Absolutely.",Owen,Election,Negative
"Biden at last visits Indian Country, where he will apologize for 150-year-old boarding school policy",Democrats hope Bidens visit to the Gila River Indian Communitys reservation in Arizona will also provide a boost to Harris turnout effort in a key battleground state.,Owen,Domestic Affairs & Policy,Positive
"On Election Day, Biden-Harris Admin Quietly Waived Terrorism Sanctions on Palestinian Government, Docs Show","Just before Tuesdays presidential election, the Biden-Harris administration quietly waived mandatory terrorism sanctions on the embattled Palestinian government-even as it determined that the governments leaders are paying imprisoned terrorists and fomentin",Owen,Foreign Policy & Relations,Negative
Harris will offer an alternative to Trump-era politics in closing argument speech,"Vice President Kamala Harris has eroded Donald Trumps polling lead since taking over the Democratic ticket from Biden, but the race remains a dead heat.",Owen,Election,Neutral
Biden Administration Pushes For Last-Minute Crackdown On Big Tech-Heres How Trumps Approach Might Be Different,"Trumps administration is expected to ease up on regulating mergers and acquisitions, though it is unclear what exact antitrust cases against Big Tech it will pursue during the president-elects term.",Owen,Domestic Affairs & Policy,Neutral
Video: Robert De Niro Calls Trump A Piece of Sh*t at Harris Pennsylvania Rally,"Days before President Joe Biden called the tens of millions of Americans who support former President Donald Trump garbage, Hollywood actor Robert De Niro called Trump a piece of sh*t while speaking at a rally in Pennsylvania for Vice President Kamala Har",Owen,Election,Negative
How YAF Stopped the Biden Administration from Destroying Womens Rights,"In a monumental legal victory, Young Americas Foundation (YAF) has successfully fought back against the Biden administrations radical rewrite of Title IX, halting the push to allow men into womens spaces.The post How YAF Stopped the Biden Administration f",Owen,Domestic Affairs & Policy,Negative
Trick or Treat? Americans Face Horrific Candy Inflation Under Biden-Harris,Inflation appears to be causing Americans to pull back on their Halloween plans.The post Trick or Treat? Americans Face Horrific Candy Inflation Under Biden-Harris appeared first on Breitbart.,Owen,Domestic Affairs & Policy,Negative
Biden gets blamed by Harris allies for the vice presidents resounding loss to Trump,"Joe Bidens name wasnt on the ballot. But history will likely remember Vice President Kamala Harris resounding defeat as his loss, too.",Owen,Election,Negative
Russia changes nuclear doctrine as Ukraine gets OK to use U.S. long-range weapons,"Moscow will now consider a conventional attack on Russia by any nation supported by a nuclear power to be a joint attack, according to a change in the countrys nuclear doctrine signed into law by Vladimir Putin. The move comes after President Biden gave Ukra",Owen,Foreign Policy & Relations,Neutral
Kamala avoids Bidens help on campaign trail despite lagging poll numbers: Report,"President Joe Biden has offered to stump on behalf of his number two, Kamala Harris, in the waning days of election season, only for Harris to give him the cold shoulder, reports indicate.Several outlets have reported that the Harris campaign is keeping Biden",Owen,Election,Negative
"Biden Judge Orders Virginia To Put More Than 1,500 Self-Identified Noncitizens Back On The Voter Rolls","On Friday, a Democrat-appointed federal judge ordered Virginia to put more than 1,500 allegedly self-identified noncitizens back on the states voter rolls ahead of the November contest. Lets be clear about what just happened: only eleven days before a Pr",Owen,Election,Negative
Bidens AI Plan & Why Central Control Might Not Work,Bidens AI Plan: Can Central Control Really Work? Discover why regulating AI is more complex than it seems and why we need a different approach for true transparency.,Owen,Domestic Affairs & Policy,Neutral
Arizona Democrat Senate Candidate Wont Disavow Biden Labeling Trump Supporters Garbage,"Arizona Democrat Senate candidate Ruben Gallego is remaining mum on whether he will disavow Joe Biden for classifying supporters of Donald Trump as garbage. The presidents remarks came Tuesday evening during a virtual event with Voto Latino, a left-wing ge",Owen,Election,Negative
Joe Biden Formally Apologizes For Dark Chapter Of Federal Indian Boarding Schools,"We should be ashamed, the president said of the governments 150-year legacy of taking Native children from their families and forcing them into abusive boarding schools.",Owen,Domestic Affairs & Policy,Positive
"More student-loan borrowers are taking advantage of an updated route to get rid of their debt in bankruptcy court, top Democratic senators say",Sen. Elizabeth Warren led some of her colleagues in calling on Bidens administration to bolster outreach to student-loan borrowers on bankruptcy.,Owen,Domestic Affairs & Policy,Neutral
"Harris Open Border Has Turned US Into Garbage Can for the World, Trump Says","Under the Biden-Harris administration, the United States has become a garbage can for the world, former President Donald Trump said at a campaign rally Thursday... Read MoreThe post Harris Open Border Has Turned US Into Garbage Can for the World, Trump",Owen,Election,Negative
Harris revives message around democracy as Trump escalates rhetoric. Will it work?,"Kamala Harris shunted Joe Bidens messaging on democracy when she took over as Democrats nominee, but now shes reviving attacks amid Donald Trumps escalating rhetoric.",Owen,Election,Neutral
President Biden to apologize for 150-year Native American boarding school policy,President Joe Biden is preparing to issue an historic apology during his first diplomatic visit to a tribal nation as president on Friday.,Owen,Domestic Affairs & Policy,Positive
Joe Biden Humbled in Presence of First Lady -- I Know the Power of Women,"A humble and contrite President Joe Biden on Monday saluted his wife, lavishing praise on the first lady during a reception at the White House that included a shout-out to Vice President Kamala Harris.The post Joe Biden Humbled in Presence of First Lady - I",Owen,Personality/Character,Positive
Biden sounds upbeat in first speech since devastating election loss for Kamala Harris: Giving up is unforgivable,President Joe Biden appeared almost happy in the first speech hes given since the devastating loss for Vice President Kamala Harris in the election. Biden spoke for about 10 minutes from the White House on Thursday and tried to encourage supporters to keep f,Owen,Personality/Character,Positive
Biden-Harris Housing Crisis: First Time Buyers Fall To Record Low,More and more young people are finding homes unaffordable in the wake of the Biden-Harris inflation crisis.The post Biden-Harris Housing Crisis: First Time Buyers Fall To Record Low appeared first on Breitbart.,Owen,Domestic Affairs & Policy,Negative
Native Americans laud Biden for historic apology over boarding schools. They want action to follow,President Joe Biden has done something that no other sitting U.S. president has: He apologized for the systemic abuse generations of Indigenous children endured at the hands of the federal government,Owen,Domestic Affairs & Policy,Positive
Yellen to global finance leaders: Isolationism made America and the world worse off,"Treasury Secretary Janet Yellen is telling world financial leaders that the U.S. economy has grown stronger because the Biden administration rejected isolationism, offering a barely veiled criticism of former President Donald Trumps policies two weeks...",Owen,Foreign Policy & Relations,Positive
"Strong, intelligent women do vote red and will vote for Donald Trump on Election Day","Just two days after Joe Biden smeared 250 million Americans as garbage, Kamala Harris top ally Mark Cuban said no strong, intelligent women support Trump, smearing tens of millions of women across America.",Owen,Election,Negative
Donald Trump boards a garbage truck to draw attention to Biden remark,Former President Donald Trump climbed into a white garbage truck that carried his name as he tried to draw attention to a comment made by President Joe Biden a day earlier,Owen,Election,Neutral
Letters to the editor,"Herald readers sound off on Joe Bidens garbage comment, Kamala Harris and the economy, economists, employment numbers, and the 2024 election",Owen,Election,Negative
Trump sends message directly to millions of Americans after Bidens garbage insult and more top headlines,Get all the stories you need-to-know from the most powerful name in news delivered first thing every morning to your inbox.,Owen,Election,Negative
Trump hammers Harris on Bidens garbage comment,Donald Trump on Wednesday blasted comments made one day earlier by President Joe Biden that appeared to call supporters of the former president garbage.,Owen,Election,Negative
Team Biden is botching the case vs. 9/11 mastermind Khalid Sheikh Mohammed & Co.,"A military judge just ruled that since-rescinded pleas deal sparing the lives of 9/11 mastermind Khalid Sheikh Mohammed and two accomplices must remain in effect, meaning they may not have to face the death penalty.",Owen,Executive Affairs,Negative
Biden denied ice cream request after threatening to take comic who mocked Puerto Rico for a swim,The 81-year-old commander in chief was denied his preferred ice cream flavor Tuesday when a Baltimore shop ran out of chocolate chip.,Owen,Personality/Character,Positive
Harris promises to represent all Americans after Bidens remark on Trump supporters and garbage,Kamala Harris is calling for Americans to stop pointing fingers at each other as she tries to push past comments made by President Joe Biden about Donald Trumps supporters and garbage.,Owen,Election,Negative
Establishment Media Immediately Try to Spin Away Bidens Garbage Smear,The establishment media immediately tried to explain away and reframe President Joe Bidens labeling of Trump supporters garbage.The post Establishment Media Immediately Try to Spin Away Bidens Garbage Smear appeared first on Breitbart.,Owen,Election,Negative
"Hollywood Elite Actor Jon Cryer: Nice Try Douche Bags, Biden Misspoke When He Called Trump Voters Garbage","CBS Two and a Half Men star Jon Cryer is attempting to spin for the Kamala Harris campaign and help contain the fallout from President Joe Bidens latest insult to Trump supporters, claiming that Biden misspoke when he called Trump supporters garbage.Th",Owen,Election,Positive
Did President Biden Just Save the CHIPS Act From Trump?,"President Biden may have secured a government program that funds semiconductor manufacturing in the United States, critical for electronics companies. The Biden administration announced Friday that a $6.6 billion deal with the Taiwan Semiconductor Manufactu",Owen,Domestic Affairs & Policy,Positive
Karine Jean-Pierre Denies Biden Views Trumps Supporters as Garbage: He Is a President for All,"White House Press Secretary Karine Jean-Pierre denied that President Joe Biden views Donald Trumps supporters as garbage, contradicting Bidens remarks that sent Vice President Kamala Harriss campaign into damage control.The post Karine Jean-Pierre Denies",Owen,Personality/Character,Positive
Harris needs young voters of color to win. A new poll finds cracks in her support,Vice President Harris is banking on the support of young voters. But new polling shows potential roadblocks for Harris in replicating the historically high youth support President Biden received in 2020.,Owen,Election,Neutral
Biden calls out Musk over a published report that the Tesla CEO once worked in the US illegally,President Joe Biden has slammed Elon Musk for hypocrisy on immigration after a published report that the Tesla CEO once worked illegally in the United States,Owen,Personality/Character,Positive
Canadian Indigenous leaders hope Bidens residential schools apology leads to meaningful change,Canadian Indigenous leaders say U.S. President Joe Bidens apology for his countrys residential school system is only the first step toward healing generations of harm.,Owen,Domestic Affairs & Policy,Positive
President Biden to apologize for 150-year Indian boarding school policy,The system devastated the lives of generations of Indigenous children and their ancestors.,Owen,Domestic Affairs & Policy,Positive
Biden misses family photo at his last G20 summit,"President Joe Biden arrived for a family picture with world leaders during his final Group of 20 summit on Monday, only to find the photo had already been taken without him.",Owen,Foreign Policy & Relations,Neutral
"Harris to call attention to abortion rights. And, Biden to issue historic apology.","In Texas, Vice President Harris will call attention to abortion rights. Beyonce will also make a guest appearance to perform. And, Biden to issue historic apology to Native Americans while in Arizona.",Owen,Domestic Affairs & Policy,Positive
Democrats Rage at George Clooney for Pushing Biden out Following Trumps Blowout Victory: Its All His Fault,George Clooney is being attacked by despairing fans in the wake of Vice President Kamala Harriss humiliating defeat in the 2024 election campaign after the actor demanded President Joe Biden step aside in her favor.The post Democrats Rage at George Clooney,Owen,Election,Positive
Biden administration urges Congress to fund disaster relief,President Joe Bidens budget director called on U.S. lawmakers on Monday to quickly pass emergency disaster relief funding in the wake of damaging storms and...,Owen,Domestic Affairs & Policy,Positive
Donald Trump Answers Biden: You Cant Lead America if You Dont Love the American People,"You cant lead America if you dont love the American People, former President Donald Trump responded in the uproar after President Joe Biden described millions of Republican supporters as garbage.The post Donald Trump Answers Biden: You Cant Lead Amer",Owen,Election,Negative
RICHARD PORTER: Trump Was A Better President Than Biden And A Better Candidate Than Harris,Its a comeback story for the ages,Owen,Election,Negative
A Biden green energy investment in Nevada that could appeal to Trump,"The U.S. has some of the toughest environmental laws in the world and has been content to let other countries mine, and buy many of its critical minerals on the global market. In recent years, theres been a push to get them at home with China and Russia domi",Owen,Domestic Affairs & Policy,Positive
Michigan 2024 Trump-Harris Polls: Harris Takes 3-Point Lead In Latest Poll,Biden flipped Michigan in the 2020 election.,Owen,Election,Neutral
An Analysis Of The Joe Biden Rainforest Memes,A video supposedly showing current U.S. President Joe Biden wandering off into the rainforest just went viral. Heres why thats a worry.,Owen,Personality/Character,Positive
"Desperate, Elitist Kamala Harris Is Hillary Clinton 2.0","Vice President Kamala Harris weak response to President Joe Bidens calling Donald Trump supporters garbage matches her hyperbolic, incendiary claims that Trump is a fascist... Read MoreThe post Desperate, Elitist Kamala Harris Is Hillary Clinton 2.0 ap",Owen,Election,Negative
Trump rallies Latino voters in Pennsylvania as campaign focuses on Bidens remark,"Former President Trump and other Republicans were quick to jump on comments from President Biden as Trumps campaign sought to pivot away from the controversy over racist remarks at his mega-rally on Sunday. Caitlin Huey-Burns is in Pennsylvania, where Trump",Owen,Election,Positive
The True Threat to American Retirement,"Old age has become a strangely tangled subject in the United States. Even after Joe Biden delivered one of the worst debate performances in recent history, his defenders routinely denounced his critics as ageist. The same thing happened with Senator Dianne Fe",Owen,Personality/Character,Negative
Biden to apologize to Native Americans for boarding school atrocities,"For more than 150 years, federal boarding schools for Native children forced them to assimilate, and often caused physical and emotional abuse.",Owen,Domestic Affairs & Policy,Positive
Heres the biggest news you missed this weekend,Trump team eyes courts-martial for Afghanistan withdrawal. Biden approves long-range missiles use on Russia. Senate Republicans dont see path for Gaetz.,Owen,,
Josh Shapiro distances himself from Biden garbage remark,"In response to President Biden appearing to call former President Donald Trumps supporters garbage on Tuesday night, Pennsylvania Gov. Josh Shapiro said, its certainly not words that I would use. Jasmine Wright, politics reporter for NOTUS, and Shelby T",Owen,Election,Negative
Why Eminems Endorsement Of Kamala Harris Would Be A Big Deal As She Targets Michigan Voters,"Eminem, a Detroit native, is a frequent critic of former President Donald Trump and previously allowed President Joe Biden to use his music in a campaign ad.",Owen,Election,Positive
"Biden calling Trump supporters garbage, reminds us what most Dems think | Reporter Replay","Joe Biden finally said out loud the quiet part of what most Democratic bigs believe: If you vote for Donald Trump, youre garbage. So blathered the current president (remember him?) during a campaign call even as Veep Kamala Harris was set to give her big",Owen,Personality/Character,Negative
These teachers often live in poverty. A pay raise could help - but theres a cost,A new Biden administration effort to raise Head Start teacher wages could force the federally funded preschool program to serve fewer children.,Owen,Domestic Affairs & Policy,Neutral
"As Trump Looms, Biden Forecasts Another Record Obamacare Year","The Biden administration predicted another record year of enrollment in individual coverage also known as Obamacare, under the Affordable Care Act.",Owen,Domestic Affairs & Policy,Positive
"GOP Strategist Tricia McLaughlin Responds To Biden Garbage Controversy, Tony Hinchcliffes Offensive Puerto Rico Remarks","On Forbes Newsroom, GOP strategist Tricia McLaughlin discussed the last-minute controversies that have erupted in the 2024 presidential race.",Owen,Election,Neutral
"U.S. allows Ukraine to use long-range weapons in Russia. And, Trumps fentanyl plan","Why President Biden changed his stance on Ukraine using U.S. long-range missiles to strike inside Russia. And, experts are skeptical of President-elect Trumps plan to crack down on fentanyl.",Owen,Foreign Policy & Relations,Neutral
Bidens bait-and-switch presidency set the stage for Harris defeat,Joe Biden became president in no small part because he offered the American people some semblance of normalcy - then he stabbed them in the back.,Owen,Election,Negative
"After Democrats lost the working class, union leaders say its time to reconstruct the Democratic Party","President Joe Biden proudly called himself the most pro-labor president in American history, but working-class voters moved further than ever from their traditional home in the Democratic Party in this years election, leading some to rethink their approach t",Owen,Election,Neutral
US presses ahead with modest Mideast plans despite election uncertainty,"With the U.S. presidential election just a week away, the Biden administration is not giving up hope for short-term deals for cease-fires between Israel and Hamas in Gaza and Israel and Hezbollah in Lebanon",Owen,Foreign Policy & Relations,Positive
Biden is scrambling to change the war in Ukraine before Trump takes over,"President Joe Biden took a slew of measures this week to support Ukraine in its defense against Russia. While late, they could help make a difference.",Owen,Foreign Policy & Relations,Positive
Voting groups that got a boost from Harris candidacy are still working to persuade voters of color,Left-leaning voter engagement groups saw a surge in support and energy after Kamala Harris replaced President Joe Biden as the partys White House nominee this summer,Owen,Election,Neutral
U.S. Vetoes Another U.N. Cease-Fire Resolution While Continuing To Arm Israel,The veto comes after the Biden administration announced that a U.S.-Israel panel looking into reports of civilian harm in Gaza will meet for the first time.,Owen,Foreign Policy & Relations,Negative
Biden says Lock him up - politically lock him up in remarks about Trump,"President Joe Biden echoed language former President Donald Trump has used in the past, saying of the former president that we gotta lock him up.",Owen,Personality/Character,Positive
LA Times Non-Endorsement of Kamala Harris Is Due to Biden-Harris Admins Stance on Gaza War,The daughter of the Los Angeles Timess owner explained that the papers non-endorsement of Vice President Kamala Harris was based on the Biden-Harris administrations stance on the ongoing war between Israel and Hamas in Gaza.The post LA Times Non-Endorseme,Owen,Election,Negative
Whatever It Takes: Political Strategist Says Dems Must Quit Coddling Biden Just To Make Him Feel Included,"Strategist Tim Miller said Dems should stop coddling Biden to make him feel included in the presidential election, despite his departure from the race.",Owen,Election,Negative
"Full-Blown Scandal: Biden-Harris Admin Hid Documents To Justify Fossil Fuel Crackdown, Oversight Committee Says","The Biden-Harris administration is allegedly covering up an internal study conducted in 2023 that would have rendered its moratorium on natural gas projects unnecessary, according to leaders on the House Oversight and Accountability Committee.The post Full-",Owen,Domestic Affairs & Policy,Negative
Inside Arab And Muslim Democrats Last-Minute Push To Get Harris Over The Finish Line,"In the crucial state of Michigan, the Biden administrations support for Israels wars has helped Donald Trump draw some Arab and Muslim voters.",Owen,Election,Negative
"Biden unlikely to ban menthol cigarettes, despite urging from health officials","A federal ban on menthol cigarettes would be one of the most effective ways to save lives,  Black Americans, the Surgeon General said. But the Biden administration isnt likely to do anything about it.",Owen,Domestic Affairs & Policy,Negative
Biden apologizes for school policy that separated Native American families,"LAVEEN VILLAGE, Arizona - President Joe Biden on Friday formally apologized to Native Americans for the government-run boarding school system that for decades forcibly separated children from their parents, calling it a blot on American history in his first",Owen,Domestic Affairs & Policy,Positive
"Eye Opener: Biden allows Ukraine to strike Russia with long-range, U.S.-supplied missiles","President Biden lifted the restriction that will allow Ukraine to use U.S.-suplied missiles with a range of 190 miles against Russia. Also, new controversy over President-elect Trumps Cabinet picks. All that and all that matters in todays Eye Opener.",Owen,Foreign Policy & Relations,Neutral
After Biden: Here are Israels post-election options on Irans dangerous nuclear program,"Israel lost a perfect opportunity to cripple Irans nuclear-weapons program during its strike against Iran this week. The targets actually selected, air defense and missile-production facilities, were entirely legitimate. Undoubtedly, both Irans defensive an",Owen,Foreign Policy & Relations,Neutral
CBS anchor says Trump not giving grace to Biden for calling his supporters garbage,"CBS Norah ODonnell said Trump was not being gracious about President Bidens remark disparaging his supporters, which has caused a firestorm for the Harris campaign.",Owen,Election,Negative
Walz says Harris message absolutely clear after Bidens garbage remarks,Minnesota Gov. Tim Walz told Good Morning America Wednesday that Vice President Kamala Harris will deliver what Americans are hungry for -- a unifying president.,Owen,Election,Negative
Trumps Reelection Is The Most Inspiring Political Comeback Of All Time,"Trumps landslide reflects a triumph over the lockdowns, inflation, and division that defined the Biden era.",Owen,Election,Negative
Biden seeks to clean up garbage comment about Trump supporters...,President Joe Biden on Tuesday tried to clean up comments he made earlier that sparked immediate backlash from many who interpreted them as referring to supporters of former President Donald Trump as garbage.,Owen,Personality/Character,Negative
Biden Calls Trump A Loser In More Ways Than One In Scathing Speech,The president delivered remarks at a Laborers International Union of North America event in Pittsburgh.,Owen,Election,Positive
Break Up Family Relationships: Biden-Harris Admin Pushes Judges to Bring Gender Ideology Into the Courtroom,"DAILY CALLER NEWS FOUNDATION-Parents increasingly find family court judges, who make life-changing decisions involving children, have fully bought into the agenda pushed by Biden-Harris administration-backed... Read MoreThe post Break Up Family Relationship",Owen,Domestic Affairs & Policy,Negative
Jean-Pierre scorched for denying Biden called Trump supporters garbage: These people think youre stupid,White House press secretary Karine Jean-Pierre faced immediate backlash after defending President Bidens statement appearing to condemn Trump supporters.,Owen,Executive Affairs,Negative
Bidens 30 GW Offshore Wind Goal Faces New Legal Setback In Maryland,Ocean City initiates legal action against the Maryland Offshore Wind Project. Both federal and state offshore wind targets in peril.,Owen,Domestic Affairs & Policy,Neutral
"Untold Misery: Trump Brings Out Gold Star Mother-In-Law, Angel Mom Ahead Of Harris Campaigns Last Big Event",Republican nominee Donald Trump invited the family members of victims impacted by the policies of the Biden-Harris administration Tuesday.,Owen,Domestic Affairs & Policy,Negative
"Act now for $7,500 EV tax credit: Theres real risk Trump will axe funding in 2025, lawyer says",Trump and Republicans on Capitol Hill will likely slash Biden-era tax breaks for electric vehicles in 2025 to raise money for a tax cut package.,Allenna,Domestic Affairs & Policy,Neutral
Trump says the death of Hamas leader Yahya Sinwar makes a peace deal easier,"Former President Donald Trump said that the death of Hamas leader Yahya Sinwar would make it easier to end the war in Gaza, echoing the sentiments of President Joe Biden and Vice President Kamala Harris in his first public remarks on the matter.",Allenna,Foreign Policy & Relations,Neutral
"Wesley Clark: Biden-Harris Admin. Doesnt Want Ceasefire Now, Itll Hurt Them Politically","On Mondays broadcast of NewsNation Now, former NATO Supreme Allied Commander Gen. Wesley Clark (Ret.) predicted that the odds of any ceasefire in the near term in the Israel-Hamas conflict in Gaza are fairly low and one reason for thatThe post Wesley Clar",Allenna,Foreign Policy & Relations,Negative
"US, China exhibit sharp contrast during final meeting ahead of transition","On November 16, during his final meeting with U.S. President Joe Biden, Chinese leader Xi Jinping voiced his willingness to work with the new administration, maintain cooperation and manage differences.Biden called the U.S.-China relationship the most impo",Allenna,Foreign Policy & Relations,Neutral
Hackers tied to China targeted Trump family and Harris-Biden aides: report,"Hackers tied to China targeted members of the Trump family, State Department officials and Harris-Biden administration aides during a shocking breach of telecommunications systems, a new report says.",Allenna,Foreign Policy & Relations,Neutral
"Frighteningly awful Biden struggled to complete sentences for over a year before dropping out, book reveals: Like your senile grandfather","Joe Biden struggled to remember basic words or even stand up at campaign fundraisers over a year prior to dropping out of the presidential race, Bob Woodwards bombshell book War reveals.",Allenna,Personality/Character,Negative
Biden suggests very alive former Rep. Gabby Giffords is dead after bizarre remark: Nothing wrong with me,"Thank you to Sen. Mark Kelly, a great friend - also was married to an incredible woman who was my friend, the 81-year-old president told the Gila River Indian Community on Friday.",Allenna,Personality/Character,Negative
"Fitness app Strava gives away location of Biden, Trump and other leaders, French newspaper says","French newspaper Le Monde reported that highly confidential movements of some of the worlds most powerful leaders, including Joe Biden, Donald Trump and Kamala Harris, could easily be tracked online through a fitness app used by their bodyguards",Allenna,Personality/Character,Neutral
Political prisoner Steve Bannon set to be freed and hit the ground running,The Biden-Harris Department of Justice prosecuted former Trump adviser and War Room host Stephen K. Bannon for actions that Democrats - including Attorney General Merrick Garland and former Attorney General Eric Holder - have similarly executed but without,Allenna,Executive Affairs,Negative
Trump Says Border Crisis Is Single-Biggest Problem America Faces,Former President Donald Trump named the border crisis as the single-biggest problem America is facing after nearly four years under the Biden-Harris administration. I really... Read MoreThe post Trump Says Border Crisis Is Single-Biggest Problem America,Allenna,Domestic Affairs & Policy,Negative
See how Trumps win got a boost from shrinking paychecks,Paycheck power index declined 4% in the Biden/Harris era after rising 5% under Trump.,Allenna,Domestic Affairs & Policy,Negative
Critics scorch KJP for denying Biden made garbage comment: Its literally on video,White House press secretary Karine Jean-Pierre faced immediate backlash Wednesday after she denied that President Biden had referred to Trump supporters as garbage.,Allenna,Personality/Character,Negative
Biden will allow Ukraine to use powerful ATACMS to strike inside Russia,President Joe Biden gave Ukraine approval to use US-provided long-range missiles to strike inside Russia - a major policy shift.,Allenna,Foreign Policy & Relations,Neutral
Biden goes off script - again - causing a distraction for Harris in campaigns home stretch,President Joe Biden has long been known for going off script,Allenna,Personality/Character,Negative
"Trump highlights Bidens garbage comment, alleges fraud with Pennsylvania ballots","Former President Donald Trump climbed aboard a garbage truck in Green Bay, Wisconsin, highlighting a recent remark by President Biden in which he called Trump supporters garbage, which the administration later clarified. It comes as Trump fights off his own",Allenna,Personality/Character,Negative
"In a first, Biden allows Ukraine to strike Russia with U.S. long-range weapons","The U.S. is allowing Ukraine to use the powerful long-range weapons to strike in and around Kursk - the same region where some 10,000 North Korean troops were recently deployed.",Allenna,Foreign Policy & Relations,Neutral
President Biden and first lady toast a reimagined White House tour that shes unveiling on Monday,President Joe Biden and first lady Jill Biden on Sunday toasted the unveiling of a long-awaited reimagined public White House tour,Allenna,Personality/Character,Neutral
James Woods Rips Biden Calling Trump Voters Garbage: Send This Worthless Fool Back to His Basement,Actor James Woods sounded off on Tuesday after President Joe Biden referred to Trump voters as garbage before Harris delivered her speech.The post James Woods Rips Biden Calling Trump Voters Garbage: Send This Worthless Fool Back to His Basement appear,Allenna,Personality/Character,Negative
Biden Issues Statement Trying to Spin Garbage Comments About Trump Supporters,President Joe Biden late Tuesday evening sent out a social media post attempting to spin comments he made calling former President Donald Trumps supporters garbage as just being about the comedian Trumps campaign had on stage at Madison Square Garden on S,Allenna,Personality/Character,Negative
Bidens garbage comment is a gift to Trump,The ex-president seized on a verbal gaffe from Biden as he continues to rally his supporters against Harris 2024 candidacy.,Allenna,Personality/Character,Negative
Trump lawyers invoke Bidens lock him up remark in motion to dismiss 2020 election interference case,"The proposed motion establishes that this unjust case was dead on arrival - unconstitutional even before its inception, Trump attorneys wrote in a motion filed in the US District Court for the District of Columbia.",Allenna,Executive Affairs,Negative
Joe Biden Walks Back Remarks About Garbage At Madison Square Garden,"I referred to the hateful rhetoric about Puerto Rico ... as garbage - which is the only word I can think of to describe it, the president said.",Allenna,Personality/Character,Negative
Pennsylvania Puerto Rican veteran blasts Biden for trashing Trump supporters: Garbage literally flies out of his mouth,"BEDFORD, Pa. - A Puerto Rican woman trashed President Biden for calling Donald Trumps supporters garbage after a J.D. Vance rally Wednesday at a rural airport in southwestern Pennsylvania. Biden is a bumbling idiot - point blank. He starts talking, and th",Allenna,Personality/Character,Negative
"Biden-Harris Program Meant To Greenify Low-Income Homes is Mismanaged and Vulnerable to Fraud, Inspector General Warns","The Biden-Harris administrations $3.5 billion initiative to weatherize low-income homes through climate-friendly and energy-efficient upgrades is being mismanaged and is vulnerable to fraud, waste, and abuse, according to a top government watchdog.The p",Allenna,Domestic Affairs & Policy,Negative
Harris and Trumps closing arguments and ancient Mayan city discovered: Morning Rundown,"Kamala Harris, Donald Trump, Joe Biden, floating garbage, Tony Hinchcliffe, health insurance, North Korea, Russia-Ukraine War, World Series Game 4, Teri Garr, Jeopardy",Allenna,Election,Neutral
WH edit of Bidens garbage remark about Trump supporters breached stenographers protocol: Spoilation of transcript integrity,"The White House press office engaged in a breach of protocol when it altered the transcript of President Bidens garbage remark about Donald Trumps supporters Tuesday over the objection of the administrations stenographers office, according to an inter",Allenna,Executive Affairs,Negative
Is FBI Still Colluding With Big Tech to Interfere in Our Elections?,"Four years ago this month, the FBI worked with Facebook and Twitter to suppress a New York Post story detailing the contents of Hunter Bidens... Read MoreThe post Is FBI Still Colluding With Big Tech to Interfere in Our Elections? appeared first on The Dail",Allenna,Election,Neutral
Biden heads to Indian Country as Harris steps up appeal to Native American voters,President Joe Biden is at last making his way to Indian Country,Allenna,Election,Positive
Trump has a new line of attack for Harris and Biden,"Just six days out from the final day of voting, both Harris and Trump are hitting the campaign trail hard. Trump is deflecting controversy that arose from his Sunday rally at Madison Square Garden.",Allenna,Election,Positive
"Biden, allies in Berlin to renew Gaza truce call after Hamas leader killed",US President Joe Biden and European leaders meeting during his farewell visit to Germany on Friday were expected to renew calls for a Gaza ceasefire after...,Allenna,Foreign Policy & Relations,Neutral
"Sorry, Kamala: You and Biden failed to unite us - and are sure to fail again","Its easy to forget given how he governed, but Biden campaigned on unity, just as Harris is campaigning now.",Allenna,Election,Negative
Why Trump Won Georgia,"Former President Donald Trump won the Peach State on Tuesday night, Decision Desk projected, clinching Georgias 16 electoral votes after Joe Biden won the state... Read MoreThe post Why Trump Won Georgia appeared first on The Daily Signal.",Allenna,Election,Negative
GOP Lawmakers: White House May Have Illegally Altered Bidens Garbage Remark in Official Transcript,House Republicans say the Biden-Harris White House might have broken the law when they altered President Joe Bidens remarks in the official transcript to imply he did not call Trump supporters garbage.The post GOP Lawmakers: White House May Have Illegally,Allenna,Executive Affairs,Negative
Biden Garbage Controversy Is Pure Republican Hypocrisy,"Joe Biden rebuked a slur against Puerto Ricans, saying, The only garbage I see floating out there is his supporters - his - his demonization of Latinos is unconscionable, and its un-American. Republicans insist there was no apostrophe.",Allenna,Personality/Character,Positive
